Nixennixen {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4264.0, 'avg_deduct': 'TBA'}
Peacky {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4068.0, 'avg_deduct': 'TBA'}
Mirabella {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2654.0, 'avg_deduct': 'TBA'}
Ænema {'ratio': 1.52, 'most_spent': 7500.0, 'biggest_cut': 3381.0, 'avg_deduct': 'TBA'}
Rubydiamond {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2833.0, 'avg_deduct': 'TBA'}
Stikkpilla {'ratio': 4.33, 'most_spent': 17500.0, 'biggest_cut': 3072.0, 'avg_deduct': 'TBA'}
Marìa {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6234.0, 'avg_deduct': 'TBA'}
Walkover {'ratio': 0.03, 'most_spent': 500.0, 'biggest_cut': 4318.0, 'avg_deduct': 'TBA'}
Dotmeister {'ratio': 9.16, 'most_spent': 23500.0, 'biggest_cut': 2565.0, 'avg_deduct': 'TBA'}
Hamstring {'ratio': 1.88, 'most_spent': 60000.0, 'biggest_cut': 9014.0, 'avg_deduct': 'TBA'}
Oinkipoinki {'ratio': 0, 'most_spent': 0, 'biggest_cut': 7219.0, 'avg_deduct': 'TBA'}
Wøx {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6889.0, 'avg_deduct': 'TBA'}
Haschel {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6889.0, 'avg_deduct': 'TBA'}
Colmanotiny {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6242.0, 'avg_deduct': 'TBA'}
Ketaschep {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5064.0, 'avg_deduct': 'TBA'}
Fallingstate {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4387.0, 'avg_deduct': 'TBA'}
Mursupappi {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4445.0, 'avg_deduct': 'TBA'}
Hilarius {'ratio': 0.1, 'most_spent': 1000.0, 'biggest_cut': 5079.0, 'avg_deduct': 'TBA'}
Aliasmight {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4669.0, 'avg_deduct': 'TBA'}
Grollbärchen {'ratio': 0.65, 'most_spent': 4500.0, 'biggest_cut': 4087.0, 'avg_deduct': 'TBA'}
Tricia {'ratio': 1.43, 'most_spent': 7000.0, 'biggest_cut': 3812.0, 'avg_deduct': 'TBA'}
Holydady {'ratio': 2.24, 'most_spent': 8500.0, 'biggest_cut': 3798.0, 'avg_deduct': 'TBA'}
Isilyra {'ratio': 3.93, 'most_spent': 18000.0, 'biggest_cut': 4011.0, 'avg_deduct': 'TBA'}
Imblack {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3463.0, 'avg_deduct': 'TBA'}
Nights {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6666.0, 'avg_deduct': 'TBA'}
Nosgov {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6008.0, 'avg_deduct': 'TBA'}
Warriijet {'ratio': 2.48, 'most_spent': 40000.0, 'biggest_cut': 4732.0, 'avg_deduct': 'TBA'}
Quezi {'ratio': 0.37, 'most_spent': 5000.0, 'biggest_cut': 4721.0, 'avg_deduct': 'TBA'}
Scoop {'ratio': 0.02, 'most_spent': 500.0, 'biggest_cut': 5724.0, 'avg_deduct': 'TBA'}
